id_utilisateur,id_concert,id_groupe,note,commentaire
599,944,944,4,Très bonne performance !
224,259,259,2,"Décevant, pas à la hauteur de mes attentes."
449,489,489,3,"Moyenne, rien d'extraordinaire."
704,379,379,1,"Piètre prestation, à éviter."
399,399,399,5,"Excellent artiste, une performance incroyable !"
719,954,954,3,"Moyenne, ni bon ni mauvais."
584,869,869,4,"Super concert, j'ai adoré !"
394,809,809,2,"Décevant, manquait de dynamisme."
124,654,654,5,"Inoubliable, le meilleur concert de ma vie !"
994,824,824,1,"Nul, une véritable déception."
194,809,809,4,"Impressionnant, une performance de haut niveau !"
289,214,214,3,"Moyenne, rien d'exceptionnel."
509,874,874,2,"Décevant, je m'attendais à mieux."
314,394,394,5,"Невероятная атмосфера, очень весело!"
744,234,234,1,"He было замечательно, даже не было хорошо."
609,954,954,4,"Очень хорошо, музыка была отличной!"
79,349,349,3,"Неплохо, но ничего особенного."
954,149,149,2,"He было замечательно, переоценено."
704,219,219,5,"Невероятное выступление, действительно выдающееся!"
964,569,569,1,Вовсе не было замечательно.
144,589,589,4,"Очень хорошо, очень понравилось!"
314,374,374,3,"Неплохо, но не выделялось."
309,829,829,2,"He было замечательно, даже не было хорошо."
679,844,844,5,"Невероятное выступление, действительно выдающееся!"
414,909,909,5,"Eine unglaubliche Atmosphäre, einfach fantastisch!"
359,74,74,3,"Nichts Besonderes, aber auch nicht schlecht."
179,979,979,2,Das Essen war enttäuschend.
249,959,959,1,"Es war nicht besonders gut, aber auch nicht schlecht."
284,509,509,4,"Sehr gut, sehr angenehm!"
929,394,394,3,"Nicht schlecht, aber nichts Besonderes."
564,229,229,2,"Überschätzt, aber nicht so gut."
504,194,194,5,"Eine unglaubliche Atmosphäre, sehr unterhaltsam!"
949,104,104,1,"Es war nicht besonders gut, nicht mal gut."
409,474,474,4,"Sehr gut, die Musik war großartig!"
904,339,339,3,"Nicht schlecht, aber nichts Herausragendes."
609,369,369,2,"Es war nicht besonders gut, es wurde überschätzt."
684,114,114,5,"Eine unglaubliche Performance, wirklich herausragend!"
864,564,564,1,Es war überhaupt nicht gut.
349,634,634,4,"Sehr gut, hat mir sehr gefallen!"
524,164,164,3,"Nicht schlecht, aber nichts Außergewöhnliches."
