id_utilisateur,id_concert,id_artiste,note,commentaire
553,858,858,,Très bonne performance !
263,328,328,2,"Décevant, pas à la hauteur de mes attentes."
243,508,508,3,"Moyenne, rien d'extraordinaire."
903,893,893,1,"Piètre prestation, à éviter."
353,203,203,5,"Excellent artiste, une performance incroyable !"
238,908,908,3,"Moyenne, ni bon ni mauvais."
183,993,993,4,"Super concert, j'ai adoré !"
718,18,18,2,"Décevant, manquait de dynamisme."
268,758,758,5,"Inoubliable, le meilleur concert de ma vie !"
253,643,643,1,"Nul, une véritable déception."
68,793,793,4,"Impressionnant, une performance de haut niveau !"
943,638,638,3,"Moyenne, rien d'exceptionnel."
453,63,63,2,"Décevant, je m'attendais à mieux."
338,903,903,1,"Pas du tout à mon goût, je n'ai pas accroché."
708,773,773,4,"Exceptionnel, un vrai talent !"
473,278,278,5,"Sublime, une prestation à couper le souffle."
588,748,748,3,"Bien mais sans plus, pas de surprise."
663,823,823,2,"Pas terrible, je ne recommande pas."
883,743,743,4,"Génial, une performance énergique et captivante !"
588,283,283,1,"Nul, j'ai regretté d'y être allé."
28,8,8,3,"Moyenne, rien d'extraordinaire."
398,808,808,2,"Décevant, ne correspondait pas à mes attentes."
838,393,393,5,"Incroyable, l'artiste a donné le meilleur de lui-même !"
943,508,508,4,"Très bon concert, une ambiance exceptionnelle !"
473,228,228,1,"Mauvais, je ne conseille pas du tout."
53,558,558,3,"Moyenne, ni décevant ni impressionnant."
798,633,633,2,"Pas terrible, je suis resté sur ma faim."
538,463,463,5,"Fantastique, une expérience musicale unique !"
623,358,358,1,"Piètre prestation, à oublier rapidement."
528,43,43,4,"Génial, j'ai passé une soirée mémorable !"
773,233,233,3,"Moyenne, sans grande surprise."
978,138,138,2,"Décevant, je m'attendais à mieux."
198,113,113,1,"Pas du tout à mon goût, j'ai été déçu."
73,233,233,4,"Très bonne performance, je recommande !"
453,438,438,3,"Moyenne, rien d'exceptionnel."
228,418,418,2,"Peu convaincant, je n'ai pas été captivé."
423,358,358,5,"Exceptionnel, un véritable artiste talentueux !"
143,708,708,1,"Décevant, pas à la hauteur de mes attentes."
733,623,623,4,"Super concert, j'ai adoré l'énergie de l'artiste !"
93,663,663,3,"Moyenne, sans surprise mais agréable."
863,388,388,2,"Pas terrible, je m'attendais à mieux."
608,443,443,5,"Inoubliable, l'un des meilleurs concerts que j'ai vus !"
738,913,913,1,"Mauvaise prestation, j'ai été déçu."
553,853,853,4,"Très bon concert, une ambiance incroyable !"
248,18,18,3,"Bien mais sans plus, manquait d'originalité."
853,203,203,2,"Décevant, je n'ai pas accroché."
818,583,583,5,"Fantastique, une expérience musicale unique !"
383,953,953,1,"Piètre prestation, je ne recommande pas."
138,673,673,4,"Génial, une performance énergique et captivante !"
848,83,83,3,"Moyenne, rien de marquant."
368,78,78,2,"Pas convaincant, je n'ai pas été transporté."
473,678,678,5,"Incroyable, un talent exceptionnel !"
513,268,268,1,"Mauvais, une véritable déception."
363,308,308,4,"Très bonne performance, j'ai été impressionné !"
63,168,168,3,"Moyenne, ni bon ni mauvais."
283,333,333,2,"Décevant, pas à la hauteur de mes attentes."
463,513,513,5,"Excellent artiste, une prestation incroyable !"
533,348,348,1,"Nul, j'ai regretté d'y être allé."
773,98,98,4,"Super concert, une ambiance folle !"
873,343,343,3,"Moyenne, sans grande surprise."
378,788,788,2,"Pas terrible, je ne recommande pas."
113,628,628,5,"Fabuleux, une performance inoubliable !"
478,33,33,1,"Piètre prestation, à éviter."
88,118,118,4,"Génial, j'ai passé un moment génial !"
